type,time,product_id,sequence,order_id,funds,size,price,side,order_type
received,2018-08-17T19:02:17.059000Z,ETH-USD,4725952271,abc70754-f53e-4ed5-b7a8-6323f964020f,,0.01500000,300.64000000,buy,limit
received,2018-08-17T19:02:17.068000Z,ETH-USD,4725952273,76c532f6-e682-428e-8d76-3a9baf6ba9c0,,0.02000000,301.52000000,buy,limit
received,2018-08-17T19:02:17.100000Z,ETH-USD,4725952277,1ca0ef92-d63d-4c11-925f-0238a300e860,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:17.114000Z,ETH-USD,4725952280,ca7a70c4-c9f8-4deb-9a42-c78d535807f4,,0.01000000,305.88000000,sell,limit
received,2018-08-17T19:02:17.123000Z,ETH-USD,4725952283,07a69fff-e0a7-4127-b59d-3327554f6ddf,,0.01500000,300.13000000,buy,limit
received,2018-08-17T19:02:17.175000Z,ETH-USD,4725952289,500a1844-e3f1-4afc-9571-185e134cca12,,0.01000000,308.42000000,sell,limit
received,2018-08-17T19:02:17.207000Z,ETH-USD,4725952294,5f0dfb70-9c47-49c0-9667-3898350b484f,,0.01000000,305.38000000,sell,limit
received,2018-08-17T19:02:17.216000Z,ETH-USD,4725952296,2cc78871-9010-4bfa-a4dc-f7be5f4cacaf,,0.01000000,306.43000000,sell,limit
received,2018-08-17T19:02:17.232000Z,ETH-USD,4725952299,b462c6ea-967c-486a-86d5-d31ba2aa140c,,0.02000000,301.56000000,buy,limit
received,2018-08-17T19:02:17.255000Z,ETH-USD,4725952303,e4d85712-542f-4550-8152-12cda97bc38b,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:17.258000Z,ETH-USD,4725952305,65b26d3a-cc1c-4b68-ba7d-ca7b388d4ed3,,0.01500000,300.64000000,buy,limit
received,2018-08-17T19:02:17.260000Z,ETH-USD,4725952307,bd2cfa07-b44e-43ea-8bc9-f52d36223ad4,,0.01000000,305.87000000,sell,limit
received,2018-08-17T19:02:17.293000Z,ETH-USD,4725952311,71b6a246-5bb4-484c-a1d9-f3a49b9a4892,,2.50863383,302.80000000,sell,limit
received,2018-08-17T19:02:17.303000Z,ETH-USD,4725952322,e7741946-e8b5-4873-b4cc-afe91d3cbcff,,4.68529000,302.80000000,sell,limit
received,2018-08-17T19:02:17.305000Z,ETH-USD,4725952324,ba93d48b-1293-472b-813d-e73fe3e669c3,,1.00000000,302.80000000,sell,limit
received,2018-08-17T19:02:17.307000Z,ETH-USD,4725952326,3d0cb4f0-9ff9-4f47-b6f6-ed8a0cd883d2,,19.68520000,302.80000000,sell,limit
received,2018-08-17T19:02:17.308000Z,ETH-USD,4725952329,47626076-ee18-4893-b20b-4796057c1097,,1.00000000,302.80000000,sell,limit
received,2018-08-17T19:02:17.316000Z,ETH-USD,4725952336,c6b96663-601e-41d8-8dcd-26b87d1ef99a,,9.51083000,303.83000000,sell,limit
received,2018-08-17T19:02:17.319000Z,ETH-USD,4725952339,6c5e24a8-ad36-4d5d-9099-6fd5e4f01311,,5.68023700,302.02000000,buy,limit
received,2018-08-17T19:02:17.320000Z,ETH-USD,4725952341,dd26adc7-2357-4dfa-a5f2-784d27376057,,0.44382024,302.80000000,sell,limit
received,2018-08-17T19:02:17.322000Z,ETH-USD,4725952344,ee71f7ad-cb6b-4751-b3cd-48d9542e2c3c,,17.00000000,302.80000000,sell,limit
received,2018-08-17T19:02:17.324000Z,ETH-USD,4725952346,e3e147cb-110b-4499-9fad-d2d315735133,,2.00000000,302.28000000,buy,limit
received,2018-08-17T19:02:17.345000Z,ETH-USD,4725952351,9e5d3ba0-2a48-4ea2-a359-b406b9de6ecc,,0.02000000,301.54000000,buy,limit
received,2018-08-17T19:02:17.355000Z,ETH-USD,4725952356,ee7c3350-10a9-436e-a6c2-9ced09cf54b6,,0.01039000,302.79000000,buy,limit
received,2018-08-17T19:02:17.361000Z,ETH-USD,4725952359,6f980b44-7876-49c0-8d3a-9e8c31249a91,,2.00000000,302.28000000,buy,limit
received,2018-08-17T19:02:17.362000Z,ETH-USD,4725952361,f5e4f54a-7dcd-4a1a-80b0-7ca632bf6fd2,,0.01000000,306.38000000,sell,limit
received,2018-08-17T19:02:17.363000Z,ETH-USD,4725952363,d327693e-f2d1-4284-ba5c-8c82c36c7ca0,,0.01000000,308.42000000,sell,limit
received,2018-08-17T19:02:17.370000Z,ETH-USD,4725952366,701314f9-56f8-406a-a722-bfe6cdcf08dc,,0.01500000,300.15000000,buy,limit
received,2018-08-17T19:02:17.382000Z,ETH-USD,4725952369,4fcea94b-2e9b-488e-ba3b-59facaddef58,,87.60000000,300.73000000,buy,limit
received,2018-08-17T19:02:17.382000Z,ETH-USD,4725952371,6ad1e40a-c098-4579-ba62-68cd73a6d9be,,2.00000000,302.30000000,buy,limit
received,2018-08-17T19:02:17.402000Z,ETH-USD,4725952375,80b474bd-53b2-4dfd-a43d-ed38aabb7583,,15.49100000,302.80000000,sell,limit
received,2018-08-17T19:02:17.405000Z,ETH-USD,4725952377,bf4d7446-5dd5-4341-b03f-a6d24e83b4e5,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:17.413000Z,ETH-USD,4725952379,223f9f72-a30d-4c7a-8c7a-16590428abc4,,11.74997000,303.73000000,sell,limit
received,2018-08-17T19:02:17.423000Z,ETH-USD,4725952382,7606a4b8-7717-455f-812e-18bf3739d59d,,9.00000000,303.36000000,sell,limit
received,2018-08-17T19:02:17.455000Z,ETH-USD,4725952385,f5f8e80e-eb31-4682-b00c-8bea409dcdb7,,0.02000000,301.64000000,buy,limit
received,2018-08-17T19:02:17.566000Z,ETH-USD,4725952390,47fa3740-eb0a-49b2-8560-fabd994773b0,,0.01000000,306.43000000,sell,limit
received,2018-08-17T19:02:17.586000Z,ETH-USD,4725952393,81f08855-12d3-4d3b-8178-3b980e2b2293,,0.01000000,308.42000000,sell,limit
received,2018-08-17T19:02:17.601000Z,ETH-USD,4725952395,43761ab9-6aa2-4fe0-a662-46237d6948c6,,4.32446469,302.80000000,sell,limit
received,2018-08-17T19:02:17.614000Z,ETH-USD,4725952397,2ba05943-8e80-4a45-a309-53914237ef68,,5.32429900,301.72000000,buy,limit
received,2018-08-17T19:02:17.625000Z,ETH-USD,4725952400,79c59bb1-9658-42cd-ac0f-05a888040de9,,20.00000000,302.80000000,sell,limit
received,2018-08-17T19:02:17.626000Z,ETH-USD,4725952402,32c8528d-9a34-4097-8c71-1b3b3d6954e7,,9.86513800,301.54000000,buy,limit
received,2018-08-17T19:02:17.631000Z,ETH-USD,4725952404,23063f03-8157-4c91-a755-e1c1d434f58e,,0.02000000,301.59000000,buy,limit
received,2018-08-17T19:02:17.638000Z,ETH-USD,4725952406,8b8010df-ac6c-40fc-bcd9-651d5a23483e,,4.52364300,301.27000000,buy,limit
received,2018-08-17T19:02:17.649000Z,ETH-USD,4725952408,192f68ff-4ecc-42ad-b915-222d9f793f02,,19.69025400,301.09000000,buy,limit
received,2018-08-17T19:02:17.664000Z,ETH-USD,4725952410,af2c8319-0af6-4315-817d-2650d0ee0e65,,101.56250000,303.90000000,sell,limit
received,2018-08-17T19:02:17.681000Z,ETH-USD,4725952413,abe286fa-1776-4191-aacf-7cc9c4623d0d,,0.02000000,301.72000000,buy,limit
received,2018-08-17T19:02:17.710000Z,ETH-USD,4725952417,b39bc3fe-11b0-4ad1-8844-0e80e0d50985,,0.01000000,305.88000000,sell,limit
received,2018-08-17T19:02:17.738000Z,ETH-USD,4725952420,9dc3fa1e-6378-4cc0-a386-2ef18b6a73b5,,0.02000000,301.51000000,buy,limit
received,2018-08-17T19:02:17.738000Z,ETH-USD,4725952422,0e1bcb98-ca44-4851-b757-a8001bf1036f,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:17.742000Z,ETH-USD,4725952424,93091cef-8164-412c-8f09-abf4af21888a,,0.01500000,300.64000000,buy,limit
received,2018-08-17T19:02:17.785000Z,ETH-USD,4725952428,f7fe936b-08aa-4418-b4d6-da4f8217edfe,,0.01000000,306.43000000,sell,limit
received,2018-08-17T19:02:17.839000Z,ETH-USD,4725952432,d3efd955-b3d8-4115-9fe9-1503cab2e33d,,0.01000000,308.42000000,sell,limit
received,2018-08-17T19:02:17.849000Z,ETH-USD,4725952435,3d0b28d8-88f2-418b-81d4-0af384dc056a,,65.00000000,301.12000000,buy,limit
received,2018-08-17T19:02:17.901000Z,ETH-USD,4725952439,36e33bc4-ccf0-4447-9089-e4154619f937,,0.01000000,306.37000000,sell,limit
received,2018-08-17T19:02:17.909000Z,ETH-USD,4725952442,9db15c89-9319-4e67-90ac-c62bee60053d,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:17.926000Z,ETH-USD,4725952444,c28d8196-3c9b-49bd-96da-302a7eb98db3,,0.02000000,301.56000000,buy,limit
received,2018-08-17T19:02:17.933000Z,ETH-USD,4725952446,858a2b22-91e7-4997-b894-d37baced89fe,,0.01500000,300.15000000,buy,limit
received,2018-08-17T19:02:17.956000Z,ETH-USD,4725952450,62ce8e5d-da41-430f-bef2-865f8d3c81c4,,0.01000000,306.43000000,sell,limit
received,2018-08-17T19:02:17.966000Z,ETH-USD,4725952452,5374f0de-33bf-4e1e-804f-99fe98c30b78,,65.00000000,300.52000000,buy,limit
received,2018-08-17T19:02:17.973000Z,ETH-USD,4725952455,cdd80143-c637-494d-8913-69ef83bea3ad,,0.01000000,305.38000000,sell,limit
received,2018-08-17T19:02:17.979000Z,ETH-USD,4725952457,f806fd35-c716-43df-a7dd-614eab4c0e59,,34.00000000,302.80000000,sell,limit
received,2018-08-17T19:02:17.991000Z,ETH-USD,4725952459,060e5222-ae03-4f6a-9f01-76964beea092,,0.01500000,300.64000000,buy,limit
received,2018-08-17T19:02:18.011000Z,ETH-USD,4725952462,b1b974b9-caa1-45bc-9a37-ea9b6b0c73cd,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:18.075000Z,ETH-USD,4725952466,db7263d9-7321-40da-9c2c-17795c31dc08,,16.55976656,303.29000000,sell,limit
received,2018-08-17T19:02:18.088000Z,ETH-USD,4725952469,3d6326fe-2616-4cdf-a48c-0c02fc43862c,,0.01000000,308.42000000,sell,limit
received,2018-08-17T19:02:18.092000Z,ETH-USD,4725952471,b3ebdf6a-1fce-40d1-95d1-3e90884b35df,,0.02000000,301.45000000,buy,limit
received,2018-08-17T19:02:18.121000Z,ETH-USD,4725952475,6a69fefb-220d-4e0e-b6b9-9bdd179ee811,,0.01000000,306.43000000,sell,limit
received,2018-08-17T19:02:18.131000Z,ETH-USD,4725952477,9bac80b6-d4c2-46ff-b4b1-7113ed6986bb,,0.01000000,305.88000000,sell,limit
received,2018-08-17T19:02:18.133000Z,ETH-USD,4725952479,bb8697d6-96e9-4b73-8314-fe932ca00e7e,,0.01500000,300.15000000,buy,limit
received,2018-08-17T19:02:18.170000Z,ETH-USD,4725952482,4f5d46a5-f6c1-4ee3-98fc-83642c13d216,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:18.246000Z,ETH-USD,4725952486,e38c99f4-75f6-4bd3-9435-8830be9a1914,,0.01000000,308.42000000,sell,limit
received,2018-08-17T19:02:18.276000Z,ETH-USD,4725952489,3d66bbca-4989-4a0d-a2fa-15cff0db7ed5,,0.01000000,306.38000000,sell,limit
received,2018-08-17T19:02:18.317000Z,ETH-USD,4725952493,1121ba65-228e-462f-a2fd-a45e95d3930b,,0.01000000,306.43000000,sell,limit
received,2018-08-17T19:02:18.334000Z,ETH-USD,4725952495,a509d194-071a-44b9-88c0-b9b928f5fc53,,0.01000000,304.43000000,sell,limit
received,2018-08-17T19:02:18.350000Z,ETH-USD,4725952497,76716553-6c6a-47e1-9e30-08ff1d054aba,,0.02000000,301.44000000,buy,limit
received,2018-08-17T19:02:18.376000Z,ETH-USD,4725952500,f4b1eb15-4403-4cda-a55c-ae6561ecba48,,0.01500000,300.64000000,buy,limit
received,2018-08-17T19:02:18.390000Z,ETH-USD,4725952504,e03cd00a-9efa-4558-a8a2-a13192be59a3,,0.01000000,308.42000000,sell,limit
received,2018-08-17T19:02:18.403000Z,ETH-USD,4725952506,c7208e45-06ff-4253-b75f-8ec98fe87d0c,,0.22855022,302.79000000,sell,limit
received,2018-08-17T19:02:18.415000Z,ETH-USD,4725952517,c5e468ac-a927-427b-a441-180df83979fe,,4.68529000,302.78000000,sell,limit
received,2018-08-17T19:02:18.416000Z,ETH-USD,4725952520,46d6c204-cf01-40a9-8914-178ea4105fd2,,1.00000000,302.78000000,sell,limit
received,2018-08-17T19:02:18.421000Z,ETH-USD,4725952525,01e552f3-5277-4261-aff6-a04171b19ee4,,19.65840000,302.78000000,sell,limit
received,2018-08-17T19:02:18.425000Z,ETH-USD,4725952531,2d871843-0b86-47ca-87d0-7302fd50cb3a,,14.00000000,302.79000000,sell,limit
received,2018-08-17T19:02:18.427000Z,ETH-USD,4725952533,35d2e5d9-d42f-473e-baf1-78958cf137f5,,2.00000000,302.37000000,buy,limit
received,2018-08-17T19:02:18.430000Z,ETH-USD,4725952536,6737f9ff-8199-4a0b-aa83-54d485057ee0,,0.44382024,302.78000000,sell,limit
received,2018-08-17T19:02:18.431000Z,ETH-USD,4725952538,1713a4a9-60c8-4ff3-a4db-623c56bb20f2,,0.01048000,302.77000000,buy,limit
received,2018-08-17T19:02:18.433000Z,ETH-USD,4725952540,5af2eeac-8c1b-465e-9092-ddb6bccf990b,,1.00000000,302.78000000,sell,limit
received,2018-08-17T19:02:18.433000Z,ETH-USD,4725952542,e91e5fe8-6f5f-4c0f-9a4b-57b676306eb7,,0.01000000,305.38000000,sell,limit
received,2018-08-17T19:02:18.437000Z,ETH-USD,4725952545,0808f975-acb8-4fd1-8983-dbde9f45c9eb,,15.49100000,302.78000000,sell,limit
